model,group,L1.1,L1.2,L2.1,L2.2,L2.3,L2.4,L2.5,L3.1,L3.2,L3.3,L3.4,L3.5,L3.6,overall
GPT-5.2,Closed-source Models,84.5,77.7,72.4,74.2,85.8,73.0,82.4,81.2,82.6,45.1,73.6,83.2,34.4,73.1
Gemini-3-Pro,Closed-source Models,91.4,75.8,82.7,82.8,83.2,70.2,81.6,77.1,79.5,46.2,73.1,80.6,23.0,72.9
Claude-Opus-4.5,Closed-source Models,86.9,71.6,76.2,77.4,72.3,60.5,80.1,75.2,79.2,44.8,71.3,75.7,35.9,69.8
Qwen3-VL-PLUS,Closed-source Models,89.1,76.7,73.3,74.0,79.6,66.4,82.4,73.9,78.1,43.8,70.4,78.6,38.9,71.2
Seed-1.6,Closed-source Models,84.0,70.4,71.8,75.0,61.1,63.3,60.2,58.6,54.3,46.0,55.4,57.6,35.1,61.0
InternVL3.5-8B,Open-source Models,54.4,49.6,43.9,50.4,57.0,28.1,49.6,40.4,25.5,7.9,43.3,35.3,21.4,39.0
InternVL3.5-38B,Open-source Models,68.5,54.8,38.3,53.6,54.2,32.8,50.5,42.3,36.3,16.2,42.6,44.3,11.2,42.0
Qwen2.5-VL-3B,Open-source Models,65.9,52.1,48.2,59.5,61.8,29.3,51.6,49.0,47.9,15.2,41.0,44.1,7.5,44.1
Qwen2.5-VL-7B,Open-source Models,69.0,55.8,58.4,59.5,73.3,43.3,69.1,56.6,66.1,52.3,50.8,17.8,22.9,53.5
Qwen2.5-VL-32B,Open-source Models,73.2,64.6,54.3,67.2,73.9,42.1,71.9,63.1,70.8,30.0,58.8,62.9,21.4,58.0
Qwen3-VL-4B,Open-source Models,72.6,57.7,53.3,60.2,72.0,38.7,64.2,58.2,58.4,20.6,50.5,48.8,19.8,51.9
Qwen3-VL-8B,Open-source Models,74.6,66.6,55.2,60.8,75.2,43.6,57.3,50.1,56.8,26.2,42.3,42.0,19.3,51.5
Qwen3-VL-32B,Open-source Models,76.5,70.1,62.2,68.3,78.1,56.1,77.4,74.5,72.2,28.3,62.1,68.3,27.8,63.2
GLM-4.6V-Flash-9B,Open-source Models,58.3,56.9,58.0,51.9,51.3,36.1,41.3,36.0,35.0,19.2,36.5,35.0,11.1,40.5
GLM-4.6V-106B-A12B,Open-source Models,73.7,64.6,61.2,58.5,67.7,47.6,55.1,48.3,52.0,27.2,46.8,39.6,25.2,51.4
MINICPM-V-4.5,Open-source Models,76.5,63.3,62.7,69.6,46.6,48.4,60.5,53.5,50.6,22.2,46.2,46.0,9.5,50.4
VideoLLaMA3-7B,Open-source Video Models,51.1,55.0,47.1,52.8,53.8,28.5,49.0,43.1,50.0,13.9,39.7,42.7,4.9,40.9
LLaVA-NeXT-Video,Open-source Video Models,8.6,18.3,10.6,18.3,32.9,7.5,21.6,17.0,19.8,2.6,15.1,21.5,2.1,15.1
VideoR1-7B,Open-source Video Models,66.0,51.0,42.7,58.4,66.4,38.3,61.6,55.7,62.4,24.2,49.6,54.4,24.6,50.4
MOLMO-2-8B,Open-source Video Models,27.0,51.0,30.8,48.6,63.0,22.1,43.7,34.5,46.9,11.3,35.7,35.8,11.9,35.6
